Food,Calories,Protein,Fat,Fiber,Carbs,Topsis Score,Rank
Pineapple juice t,250,120,1,0.2,32.0,0.7067537479530372,35.0
Plums t,256,185,1,0.7,50.0,0.7234791455214682,23.0
"Raw, "" diameter t t",1,60,30,0.2,7.0,0.673017515023349,276.0
Prunes,300,3,1,0.8,81.0,0.7055144595596531,38.0
Prune juice t,240,170,1,0.7,45.0,0.718420630001295,25.0
Raisins / t,88,230,2,0.7,82.0,0.7314872606879762,13.0
Raspberries / t t,2,100,100,2.0,25.0,0.6693166322220602,294.0
"Raw, red / t t",4,100,57,5.0,14.0,0.673517414253227,275.0
Rhubarb sweetened t,270,385,1,1.9,98.0,0.775465856469854,5.0
Strawberries t,227,242,1,1.3,60.0,0.7343697318770425,12.0
Watermelon wedge,120,2,1,3.6,29.0,0.6805223198424688,168.0
"Biscuits t Breads,",38,130,3,3.0,18.0,0.6909310208997991,84.0
"Bran flakes t Breads,",25,117,3,0.1,32.0,0.6943319519801706,63.0
"Bread, cracked wheat slice Breads,",60,2,1,0.1,12.0,0.6741975244168483,265.0
"Rye slice Breads,",55,2,1,0.1,12.0,0.673966342866131,267.0
"White, slices, or -lb. loaf , Breads,",225,39,15,9.0,229.0,0.7309646811251115,15.0
"Whole-wheat -lb. loaf , Breads,",100,48,14,67.5,216.0,0.6775752915571273,228.0
"Whole-wheat slice Breads,",55,2,1,0.31,11.0,0.6735730355068689,274.0
"Corn bread ground meal serving Breads,",100,3,4,0.3,15.0,0.67655315816304,241.0
"Cornflakes t Breads,",25,110,2,0.1,25.0,0.6912231897980765,81.0
"Corn grits cooked t Breads,",242,120,8,0.2,27.0,0.703606306156197,39.0
"Corn meal Breads,",360,9,4,1.6,74.0,0.7064329298270542,36.0
"Crackers med. t Breads,",14,55,1,0.0,10.0,0.678577756606893,206.0
"Soda, / square t Breads,",11,45,1,0.0,8.0,0.6764755068392644,243.0
"Farina t Breads,",238,105,3,8.0,22.0,0.6965417132963674,58.0
"Flour Breads,",460,39,22,2.9,33.0,0.6990699719855313,53.0
"Wheat (all purpose) Breads,",400,12,1,0.3,84.0,0.7125359494567639,30.0
"Wheat (whole) Breads,",390,13,2,2.8,79.0,0.709645231990536,32.0
"Macaroni Breads,",155,5,1,0.1,32.0,0.6850503245849785,128.0
"Baked with cheese t Breads,",220,475,18,24.0,44.0,0.7454559208719523,8.0
"Muffins t Breads,",48,135,4,4.0,19.0,0.6918913070448476,75.0
"Noodles Breads,",200,7,2,0.1,37.0,0.6887802633400769,102.0
"Oatmeal Breads,",150,5,3,4.6,26.0,0.6806680751509955,165.0
"Pancakes "" diam. Breads,",250,7,9,0.1,28.0,0.6871748273017039,114.5
"Wheat, pancakes "" diam. Breads,",250,7,9,0.1,28.0,0.6871748273017039,114.5
"Pizza "" diam. section t Breads,",75,180,8,5.0,23.0,0.6999463113607348,52.0
"Popcorn salted Breads,",152,3,7,0.5,20.0,0.6799062615117092,180.0
"Puffed wheat presweetened t Breads,",28,105,1,0.6,26.0,0.6909446121314651,83.0
"Rice Breads,",748,15,3,1.2,154.0,0.7428137395702348,9.0
"Converted t Breads,",187,677,14,0.4,142.0,0.8243209304223883,3.0
"White t Breads,",191,692,14,0.3,150.0,0.8293637730927605,2.0
"Rice flakes t Breads,",30,115,2,0.1,26.0,0.6925119517715952,71.0
"Rice polish / Breads,",132,6,6,1.2,28.0,0.6817113854735506,152.0
"Rolls large Breads,",411,3,12,0.1,23.0,0.6909496401218566,82.0
"of refined flour t Breads,",38,115,3,2.0,20.0,0.6899945665405226,90.0
"whole-wheat Breads,",102,4,1,0.1,20.0,0.6788291255255021,203.0
"Spaghetti with meat sauce Breads,",285,13,10,0.5,35.0,0.6914828203842922,77.0
"with tomatoes and cheese Breads,",210,6,5,0.5,36.0,0.6881696604608976,106.0
"Spanish rice Breads,",217,4,4,1.2,40.0,0.6892437929305181,97.0
"Shredded wheat biscuit Breads,",100,3,1,0.7,23.0,0.6792389597613534,192.0
"Waffles Breads,",240,8,9,0.1,30.0,0.687521185948177,111.0
"Wheat germ Breads,",245,17,7,2.5,34.0,0.6896005476042837,93.0
"Wheat-germ cereal toasted Breads,",260,20,7,2.5,36.0,0.6913560855209532,79.0
"Wheat meal cereal unrefined / Breads,",103,4,1,0.7,25.0,0.6801226723223391,178.0
"Wheat, cooked / Breads,",275,12,1,4.4,35.0,0.6904650114962634,87.0
Bean soups,190,8,5,0.6,30.0,0.6856792757461885,121.0
Beef soup,100,6,4,0.5,11.0,0.6756568234698049,247.0
Bouillon,24,5,0,0.0,0.0,0.6695110780005405,292.0
chicken soup,75,4,2,0.0,10.0,0.6744523149683571,261.0
Clam chowder,85,5,2,0.5,12.0,0.675435286015874,251.0
Cream soups,200,7,12,1.2,18.0,0.680915891032274,162.0
Noodle,115,6,4,0.2,13.0,0.6770837721703541,236.0
Split-pea soup,147,8,3,0.5,25.0,0.6825250757200072,144.0
Tomato soup,175,6,7,0.5,22.0,0.6819859470998484,149.0
Vegetable,80,4,2,0.0,14.0,0.6758959489650785,245.0
Apple betty serving,150,1,4,0.5,29.0,0.6827196924710104,143.0
Bread pudding /,374,11,12,0.2,56.0,0.7013439156672971,44.0
Cakes slice t,40,110,3,0.0,23.0,0.6912729653949473,80.0
Chocolate fudge slice,420,5,14,0.3,70.0,0.7061545187264778,37.0
Cupcake t,50,160,3,2.0,31.0,0.7006221649797335,50.0
Fruit cake slice,105,2,4,0.2,17.0,0.6772946633975039,233.0
Gingerbread slice t,55,180,2,6.0,28.0,0.7009823317117738,48.0
"Plain, with no icing slice t",55,180,4,4.0,31.0,0.7026839113557137,42.0
Sponge cake slice,115,3,2,0.0,22.0,0.6797911213058743,185.0
Candy t,25,104,3,0.0,19.0,0.6883432461883865,104.0
Chocolate creams t,30,130,4,0.0,24.0,0.6936821129934821,65.0
Fudge pieces t,90,370,12,0.1,80.0,0.751073953449095,6.0
Hard candies t,28,90,0,0.0,28.0,0.689897714363799,91.0
Marshmallows,98,1,0,0.0,23.0,0.6793134367204448,191.0
Milk chocolate bar,290,2,6,0.2,44.0,0.6935102113781002,67.0
Doughnuts t,33,135,2,4.0,17.0,0.6906907903266878,86.0
Honey T. t,42,120,0,0.0,30.0,0.6954975848527866,61.0
Ice cream,250,0,0,10.0,0.0,0.6738208546111168,270.0
Ices,117,0,0,0.0,48.0,0.6874389285471555,113.0
preserves T. t,20,55,0,0.0,14.0,0.6802696848763198,177.0
Jellies T.,50,0,0,0.0,13.0,0.6739517005874088,268.5
Molasses T.,45,0,0,8.0,11.0,0.6693522461225684,293.0
Cane Syrup T.,50,0,0,0.0,13.0,0.6739517005874088,268.5
""" diam. pie slice",330,3,13,0.1,53.0,0.6971545034481406,56.0
Cherry Pie slice,340,3,13,0.1,55.0,0.6981898214658175,55.0
Custard slice,265,7,11,0.0,34.0,0.6894512373413909,96.0
Lemon meringue slice,300,4,12,0.1,45.0,0.6937224543538567,64.0
Mince slice,340,3,9,0.7,62.0,0.700651829202987,49.0
Pumpkin Pie slice,265,5,12,8.0,34.0,0.6852425065242682,125.0
Puddings Sugar,770,0,0,0.0,199.0,0.7486119885282027,7.0
teaspoons sugar T.,50,0,0,0.0,12.0,0.6736524682259888,273.0
"Brown, firm-packed, dark sugar t",220,815,0,0.0,210.0,0.8590437291205244,1.0
Syrup T.,100,0,0,0.0,25.0,0.6798640218405689,183.0
table blends sugar T.,110,0,0,0.0,29.0,0.6815244141771302,155.0
Tapioca cream pudding,335,10,10,0.0,42.0,0.6955525148129797,60.0
Almonds / Seeds,425,13,38,1.8,13.0,0.6846621706810496,133.0
roasted and salted / Seeds,439,13,40,1.8,13.0,0.6848151194266364,130.0
Brazil nuts / Seeds,457,10,47,2.0,7.0,0.6815868275058332,154.0
Cashews / Seeds,392,12,32,0.9,20.0,0.6870863877505394,116.0
coconut sweetened / Seeds,274,1,20,2.0,26.0,0.6841122753690185,136.0
Peanut butter / Seeds,300,12,25,0.9,9.0,0.6810035192105516,160.0
"Peanut butter, natural / Seeds",284,13,24,0.9,8.0,0.680337777380897,174.0
Peanuts / Seeds,290,13,25,1.2,9.0,0.6806099500997393,166.0
Pecans / Seeds,343,5,35,1.1,7.0,0.679226633993945,194.0
Sesame seeds / Seeds,280,9,24,3.1,10.0,0.679229345085121,193.0
Sunflower seeds / Seeds,280,12,26,1.9,10.0,0.6798984962412583,181.0
Walnuts / Seeds,325,7,32,1.0,8.0,0.6797150199052644,187.0
Beer t,480,228,0,0.0,8.0,0.7242125642099114,22.0
Gin t,28,70,0,0.0,0.0,0.6782163913366394,213.0
Wines / t,120,164,0,0.0,9.0,0.6984994514259293,54.0
Table (% alcohol) / t,120,100,0,0.0,5.0,0.6883621786101096,103.0
Carbonated drinks Artificially sweetened,0,0,0,0.0,0.0,0.667756316974325,295.5
Club soda,0,0,0,0.0,0.0,0.667756316974325,295.5
Cola drinks,137,0,0,0.0,38.0,0.685462065487985,123.0
Fruit-flavored soda,161,0,0,0.0,42.0,0.6877672560024232,109.0
Ginger ale,105,0,0,0.0,28.0,0.6809930334610288,161.0
Root beer,140,0,0,0.0,35.0,0.6847096527667765,131.0
Coffee t,230,3,0,0.0,1.0,0.678511017943002,208.0
Tea t,230,4,0,0.0,1.0,0.6786509671423923,205.0
